id,url,t,epoch,hashtag_profile,keyword_profile,tag_profile,score
f3840ebc2f3bed12f500135fc5643872,https://www.washingtonpost.com/news/dr-gridlock/wp/2015/09/24/maps-for-pope-francis-visit-thursday-events/,2015-09-24T10:24:46+00:00,1443090286.0,"{'#popeindc': 0.21945701357466063, '#popeinus': 0.20135746606334842, '#popeinnyc': 0.20135746606334842, '#pope': 0.1990950226244344, '#popeinphilly': 0.17873303167420815}","{'events': 0.2, 'maps': 0.2, 'pope_francis': 0.2, 'thursday': 0.2, 'visit': 0.2}","{'#popeindc': 0.16459276018099547, '#popeinus': 0.15101809954751133, '#popeinnyc': 0.15101809954751133, '#pope': 0.14932126696832582, '#popeinphilly': 0.1340497737556561, 'events': 0.05, 'maps': 0.05, 'pope_francis': 0.05, 'thursday': 0.05, 'visit': 0.05}",0.016387338190437698
8b7f78ca-54c1-11e5-8bb1-b488d231bba2,https://www.washingtonpost.com/lifestyle/kidspost/pope-francis-visits-washington-to-share-his-message/2015/09/15/8b7f78ca-54c1-11e5-8bb1-b488d231bba2_story.html,2015-09-15T21:52:44+00:00,1442353964.0,"{'#pope': 0.4279069767441861, '#popeinus': 0.30697674418604654, '#cuba': 0.2651162790697674}","{'catholic_church': 0.2, 'message': 0.2, 'pope_francis': 0.2, 'share': 0.2, 'us': 0.2}","{'#pope': 0.32093023255813957, '#popeinus': 0.23023255813953492, '#cuba': 0.19883720930232557, 'catholic_church': 0.05, 'message': 0.05, 'pope_francis': 0.05, 'share': 0.05, 'us': 0.05}",0.015669330391674834
212ca63e8722dcc28cbec86e5c7b1607,https://www.washingtonpost.com/news/dr-gridlock/wp/2015/09/15/tips-for-getting-around-when-pope-francis-visits-d-c/,2015-09-15T15:58:21+00:00,1442332701.0,"{'#pope': 0.5384615384615384, '#news': 0.4615384615384615}","{'dc': 0.2, 'pope_francis': 0.2, 'questions': 0.2, 'tips': 0.2, 'travelers': 0.2}","{'#pope': 0.40384615384615385, '#news': 0.34615384615384615, 'dc': 0.05, 'pope_francis': 0.05, 'questions': 0.05, 'tips': 0.05, 'travelers': 0.05}",0.014833986625472613
5777a51b6434e538e9b66e7622863041,https://www.washingtonpost.com/news/powerpost/wp/2015/09/21/the-daily-202-pope-francis-visit-puts-republicans-on-the-defensive/,2015-09-21T11:47:10+00:00,1442836030.0,"{'#popeindc': 0.3931623931623932, '#popeinus': 0.3504273504273504, '#news': 0.25641025641025644}","{'big_idea': 0.2, 'francis': 0.2, 'john_paul_ii': 0.2, 'pope': 0.2, 'visit': 0.2}","{'#popeindc': 0.29487179487179493, '#popeinus': 0.2628205128205128, '#news': 0.19230769230769235, 'big_idea': 0.05, 'francis': 0.05, 'john_paul_ii': 0.05, 'pope': 0.05, 'visit': 0.05}",0.014771638815931009
b8273c1d73420fcb78923beb79a6385c,https://www.washingtonpost.com/news/capital-weather-gang/wp/2015/09/17/damp-weather-pattern-may-coincide-with-pope-francis-visit-in-washington-d-c/,2015-09-17T19:58:35+00:00,1442519915.0,{},"{'damp': 0.2, 'pattern': 0.2, 'pope_francis': 0.2, 'weather': 0.2, 'york': 0.2}","{'damp': 0.05, 'pattern': 0.05, 'pope_francis': 0.05, 'weather': 0.05, 'york': 0.05}",0.013605730475110744
c03583bd2a55017d0dc707e432490399,https://www.washingtonpost.com/news/acts-of-faith/wp/2015/09/27/see-this-touching-image-of-pope-francis-holding-a-prisoners-hand/,2015-09-27T16:51:39+00:00,1443372699.0,"{'#popeinphilly': 0.6153846153846153, '#news': 0.3846153846153846}","{'hand': 0.2, 'philadelphia': 0.2, 'pope_francis': 0.2, 'prisoner': 0.2, 'rns': 0.2}","{'#popeinphilly': 0.46153846153846145, '#news': 0.28846153846153844, 'hand': 0.05, 'philadelphia': 0.05, 'pope_francis': 0.05, 'prisoner': 0.05, 'rns': 0.05}",0.007197694235011098
50f4d1ae-63a4-11e5-9757-e49273f05f65,https://www.washingtonpost.com/opinions/the-nuanced-passion-of-pope-francis/2015/09/25/50f4d1ae-63a4-11e5-9757-e49273f05f65_story.html,2015-09-26T00:35:01+00:00,1443227701.0,"{'#pope': 0.26358695652173914, '#popeinnyc': 0.26358695652173914, '#popeinphilly': 0.25815217391304346, '#popeinus': 0.2146739130434783}","{'kool-aid': 0.2, 'neighbor': 0.2, 'olive_street': 0.2, 'passion': 0.2, 'pope_francis': 0.2}","{'#pope': 0.19769021739130435, '#popeinnyc': 0.19769021739130435, '#popeinphilly': 0.1936141304347826, '#popeinus': 0.16100543478260873, 'kool-aid': 0.05, 'neighbor': 0.05, 'olive_street': 0.05, 'passion': 0.05, 'pope_francis': 0.05}",0.005323763230705097
5f63d35bdfb4b2df03a2957f8094a11b,https://www.washingtonpost.com/news/powerpost/wp/2015/09/23/powermoves-pope-francis-talks-immigration-major-k-street-firm-to-merge-with-comms-shop/,2015-09-23T18:16:56+00:00,1443032216.0,"{'#popeindc': 0.5348837209302325, '#popeinus': 0.46511627906976744}","{'immigration': 0.2, 'k_street': 0.2, 'pope_francis': 0.2, 'powermoves': 0.2, 'talks': 0.2}","{'#popeindc': 0.40116279069767435, '#popeinus': 0.3488372093023256, 'immigration': 0.05, 'k_street': 0.05, 'pope_francis': 0.05, 'powermoves': 0.05, 'talks': 0.05}",0.0052779204733172545
c19637d6-630e-11e5-9757-e49273f05f65,https://www.washingtonpost.com/opinions/on-the-path-toward-more-humane-politics/2015/09/24/c19637d6-630e-11e5-9757-e49273f05f65_story.html,2015-09-25T00:35:31+00:00,1443141331.0,{'#popeindc': 1.0},"{'congress': 0.2, 'personalism': 0.2, 'pope_francis': 0.2, 'profound': 0.2, 'state': 0.2}","{'#popeindc': 0.75, 'congress': 0.05, 'personalism': 0.05, 'pope_francis': 0.05, 'profound': 0.05, 'state': 0.05}",0.005265172843702242
3d3735340ae5222140b5a5930de013f7,https://www.washingtonpost.com/blogs/post-partisan/wp/2015/09/23/pope-francis-answers-charlie-rangel/,2015-09-23T15:32:53+00:00,1443022373.0,"{'#popeinus': 0.26548672566371684, '#pope': 0.26548672566371684, '#popeindc': 0.2507374631268437, '#popeinnyc': 0.21828908554572274}","{'cardinal_jorge_mario_bergoglio': 0.2, 'catholic_church': 0.2, 'charlie_rangel': 0.2, 'pope_francis': 0.2, 'rep_charles_rangel': 0.2}","{'#popeinus': 0.19911504424778764, '#pope': 0.19911504424778764, '#popeindc': 0.18805309734513276, '#popeinnyc': 0.16371681415929207, 'cardinal_jorge_mario_bergoglio': 0.05, 'catholic_church': 0.05, 'charlie_rangel': 0.05, 'pope_francis': 0.05, 'rep_charles_rangel': 0.05}",0.005080078808504697
b75e98f8a7df2ec32254725112e97b51,https://www.washingtonpost.com/blogs/post-partisan/wp/2015/09/30/why-im-disappointed-in-pope-francis/,2015-09-30T19:36:42+00:00,1443641802.0,"{'#pope': 0.25139664804469275, '#kimdavis': 0.21508379888268156, '#uniteblue': 0.20391061452513964, '#popefrancis': 0.1899441340782123, '#tcot': 0.13966480446927373}","{'kim_davis': 0.2, 'level': 0.2, 'meeting': 0.2, 'pope_francis': 0.2, 'rowan_county': 0.2}","{'#pope': 0.18854748603351956, '#kimdavis': 0.16131284916201116, '#uniteblue': 0.15293296089385472, '#popefrancis': 0.14245810055865923, '#tcot': 0.1047486033519553, 'kim_davis': 0.05, 'level': 0.05, 'meeting': 0.05, 'pope_francis': 0.05, 'rowan_county': 0.05}",0.005034868861305873
